# watGNN/3rwn_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    58     18 95.000 |  8.482  7.428 10.000      10     14     14   0.346
    58     28 90.000 |  7.528  6.133 10.000      12     18     19   0.415
    58     49 85.000 |  6.489  4.807  4.710      15     22     24   0.439
    58     55 80.000 |  7.313  4.994  3.767      17     24     26   0.424
    58     70 75.000 |  5.358  3.709  1.281      19     26     30   0.468
    58     91 70.000 |  3.831  2.641  1.084      21     28     34   0.541
    58    111 65.000 |  3.416  2.293  1.024      21     29     35   0.574
    58    136 60.000 |  2.951  1.966  0.823      21     31     37   0.579
    58    159 55.000 |  2.501  1.644  0.823      21     32     39   0.666
    58    187 50.000 |  2.015  1.327  0.745      23     34     41   0.647
    58    217 45.000 |  1.885  1.249  0.745      23     34     42   0.680
    58    253 40.000 |  1.660  1.113  0.700      23     36     44   0.684
    58    294 35.000 |  1.443  1.020  0.680      23     37     45   0.684
    58    339 30.000 |  1.247  0.893  0.665      23     39     48   0.694
    58    369 25.000 |  1.247  0.893  0.665      23     39     48   0.694
    58    423 20.000 |  1.226  0.877  0.665      23     39     49   0.703
    58    480 15.000 |  1.205  0.859  0.665      23     40     50   0.684
    58    531 10.000 |  1.202  0.857  0.665      23     40     50   0.682
    58    565  5.000 |  1.202  0.857  0.665      23     40     50   0.682
    58    720  0.000 |  0.867  0.714  0.628      24     41     54   0.714
#
