# watGNN/3vla_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   177     82 95.000 |  7.431  5.756 10.000      63     71     72   0.278
   177    126 90.000 |  6.261  4.248  0.761      80     94     96   0.326
   177    166 85.000 |  6.193  3.505  0.412      95    112    114   0.333
   177    199 80.000 |  4.986  2.697  0.371      98    117    120   0.358
   177    243 75.000 |  3.828  2.014  0.360      99    125    128   0.371
   177    288 70.000 |  2.514  1.380  0.359     102    133    136   0.383
   177    334 65.000 |  2.243  1.174  0.359     104    140    144   0.411
   177    374 60.000 |  1.903  1.006  0.359     106    143    148   0.417
   177    414 55.000 |  1.801  0.947  0.354     108    145    150   0.417
   177    461 50.000 |  1.456  0.831  0.354     108    145    151   0.428
   177    520 45.000 |  1.328  0.766  0.352     109    147    153   0.436
   177    593 40.000 |  1.235  0.713  0.352     110    149    156   0.450
   177    650 35.000 |  1.157  0.679  0.352     111    151    158   0.453
   177    724 30.000 |  1.045  0.631  0.352     112    154    161   0.457
   177    819 25.000 |  0.805  0.540  0.352     115    157    165   0.466
   177    920 20.000 |  0.733  0.516  0.352     115    157    167   0.474
   177   1030 15.000 |  0.650  0.493  0.352     115    158    168   0.473
   177   1130 10.000 |  0.650  0.493  0.352     115    158    168   0.473
   177   1225  5.000 |  0.650  0.493  0.352     115    158    168   0.473
   177   1646  0.000 |  0.619  0.477  0.352     115    160    171   0.466
#
