# watGNN/4a02_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    65     31 95.000 |  7.380  5.648 10.000      25     28     28   0.249
    65     45 90.000 |  6.338  4.381  0.674      29     33     33   0.293
    65     63 85.000 |  5.893  3.468  0.531      31     39     39   0.334
    65     88 80.000 |  3.572  2.075  0.480      34     44     44   0.378
    65    103 75.000 |  2.859  1.694  0.459      35     45     45   0.375
    65    112 70.000 |  2.859  1.694  0.459      35     45     45   0.375
    65    133 65.000 |  2.603  1.458  0.442      36     48     48   0.384
    65    158 60.000 |  1.812  1.033  0.442      37     50     52   0.420
    65    179 55.000 |  1.613  0.930  0.442      37     51     53   0.423
    65    197 50.000 |  1.129  0.707  0.399      38     54     56   0.432
    65    217 45.000 |  1.099  0.696  0.399      38     54     56   0.432
    65    244 40.000 |  1.008  0.646  0.385      39     55     57   0.429
    65    282 35.000 |  0.916  0.594  0.385      40     56     59   0.417
    65    314 30.000 |  0.868  0.578  0.385      40     56     59   0.417
    65    366 25.000 |  0.731  0.519  0.348      41     57     60   0.463
    65    418 20.000 |  0.731  0.519  0.348      41     57     60   0.463
    65    469 15.000 |  0.731  0.519  0.348      41     57     60   0.463
    65    507 10.000 |  0.684  0.500  0.348      41     57     61   0.475
    65    553  5.000 |  0.684  0.500  0.348      41     57     61   0.475
    65    718  0.000 |  0.641  0.481  0.348      41     57     63   0.456
#
