# watGNN/4ce8_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    52     12 95.000 |  8.771  7.743 10.000      12     12     12   0.218
    52     18 90.000 |  8.141  6.788 10.000      16     16     16   0.236
    52     24 85.000 |  7.437  5.818 10.000      19     19     19   0.315
    52     33 80.000 |  6.762  5.105  4.646      20     20     20   0.311
    52     44 75.000 |  6.340  4.252  2.108      21     21     24   0.459
    52     58 70.000 |  5.524  3.269  0.567      26     27     30   0.433
    52     74 65.000 |  3.414  2.095  0.453      27     29     32   0.509
    52     88 60.000 |  2.989  1.767  0.429      28     31     34   0.533
    52    106 55.000 |  2.017  1.263  0.411      30     33     36   0.526
    52    114 50.000 |  1.910  1.189  0.411      30     34     37   0.535
    52    137 45.000 |  1.424  0.900  0.379      33     37     40   0.516
    52    163 40.000 |  1.347  0.849  0.379      33     38     41   0.520
    52    186 35.000 |  1.224  0.787  0.379      33     39     42   0.529
    52    212 30.000 |  1.156  0.761  0.379      33     39     42   0.529
    52    240 25.000 |  1.138  0.749  0.379      33     39     43   0.520
    52    286 20.000 |  1.016  0.697  0.379      33     39     44   0.560
    52    330 15.000 |  0.920  0.657  0.379      33     39     45   0.576
    52    378 10.000 |  0.919  0.657  0.379      33     39     45   0.576
    52    418  5.000 |  0.913  0.655  0.379      33     39     45   0.576
    52    543  0.000 |  0.817  0.614  0.379      33     39     46   0.614
#
