# watGNN/4g9s_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    81     28 95.000 |  8.266  6.967 10.000      21     23     24   0.287
    81     47 90.000 |  7.376  5.606  6.882      28     32     33   0.302
    81     64 85.000 |  6.714  4.546  1.465      33     40     41   0.359
    81     85 80.000 |  7.357  4.234  0.606      37     47     48   0.368
    81    103 75.000 |  4.811  2.951  0.602      38     50     50   0.363
    81    127 70.000 |  3.457  1.925  0.442      43     57     57   0.359
    81    146 65.000 |  3.008  1.640  0.442      43     59     60   0.419
    81    172 60.000 |  2.863  1.481  0.442      44     63     64   0.416
    81    189 55.000 |  2.256  1.187  0.442      44     66     67   0.427
    81    218 50.000 |  2.090  1.081  0.442      44     67     68   0.430
    81    257 45.000 |  1.559  0.856  0.442      44     69     70   0.440
    81    293 40.000 |  1.508  0.813  0.424      45     70     71   0.454
    81    337 35.000 |  1.254  0.704  0.421      46     72     74   0.449
    81    375 30.000 |  0.923  0.618  0.421      46     72     75   0.459
    81    415 25.000 |  0.873  0.593  0.421      46     73     76   0.464
    81    461 20.000 |  0.827  0.573  0.421      46     73     77   0.472
    81    523 15.000 |  0.781  0.555  0.421      46     74     78   0.464
    81    599 10.000 |  0.718  0.536  0.421      46     74     78   0.481
    81    669  5.000 |  0.591  0.490  0.421      46     75     80   0.490
    81    861  0.000 |  0.591  0.490  0.421      46     75     80   0.490
#
