# watGNN/4ga2_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    43     10 95.000 |  8.957  8.241 10.000       6      6      7   0.493
    43     18 90.000 |  8.408  7.476 10.000       8      8      9   0.420
    43     33 85.000 |  8.220  6.546  7.940      11     11     12   0.467
    43     43 80.000 | 14.020  8.360  6.424      14     16     17   0.448
    43     61 75.000 |  4.902  3.514  1.692      17     20     21   0.447
    43     65 70.000 |  4.877  3.496  1.692      17     20     21   0.447
    43     81 65.000 |  4.004  2.693  0.647      19     23     24   0.484
    43     90 60.000 |  3.877  2.550  0.640      20     24     25   0.479
    43    106 55.000 |  3.253  1.989  0.445      23     27     28   0.453
    43    125 50.000 |  3.034  1.760  0.445      24     29     30   0.459
    43    142 45.000 |  2.522  1.456  0.445      24     30     31   0.471
    43    171 40.000 |  2.086  1.144  0.431      25     33     34   0.486
    43    196 35.000 |  1.941  1.061  0.394      26     34     35   0.481
    43    230 30.000 |  1.539  0.858  0.394      26     35     36   0.525
    43    264 25.000 |  1.183  0.735  0.373      27     36     37   0.517
    43    333 20.000 |  0.621  0.493  0.373      29     40     41   0.493
    43    432 15.000 |  0.621  0.493  0.373      29     40     41   0.493
    43    495 10.000 |  0.621  0.493  0.373      29     40     41   0.493
    43    584  5.000 |  0.621  0.493  0.373      29     40     41   0.493
    43    761  0.000 |  0.599  0.484  0.373      29     40     42   0.484
#
