# watGNN/4gnr_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   139     53 95.000 |  8.018  6.671 10.000      34     39     42   0.399
   139     91 90.000 |  6.811  5.025  4.219      43     59     62   0.426
   139    122 85.000 |  7.312  4.567  1.093      52     69     74   0.438
   139    155 80.000 |  6.202  3.293  0.679      58     81     87   0.478
   139    186 75.000 |  4.073  2.248  0.604      64     89     95   0.473
   139    229 70.000 |  3.137  1.751  0.598      66     94    103   0.500
   139    277 65.000 |  2.457  1.357  0.530      68    101    109   0.518
   139    305 60.000 |  2.214  1.262  0.530      68    102    110   0.521
   139    350 55.000 |  1.947  1.117  0.506      69    104    113   0.524
   139    390 50.000 |  1.723  1.003  0.506      69    105    117   0.547
   139    440 45.000 |  1.508  0.925  0.506      69    105    117   0.565
   139    485 40.000 |  1.436  0.900  0.506      69    105    117   0.565
   139    533 35.000 |  1.330  0.841  0.470      71    107    120   0.559
   139    589 30.000 |  1.200  0.783  0.459      72    108    122   0.564
   139    677 25.000 |  0.953  0.668  0.434      74    112    129   0.560
   139    765 20.000 |  0.855  0.638  0.434      74    112    130   0.563
   139    870 15.000 |  0.849  0.634  0.434      74    113    130   0.558
   139    965 10.000 |  0.801  0.614  0.434      75    114    131   0.557
   139   1044  5.000 |  0.740  0.586  0.434      75    115    133   0.561
   139   1377  0.000 |  0.705  0.572  0.434      75    116    134   0.572
#
