# result_score/3drism
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
    82      4 16.000 |  9.757  9.567 10.000  0.4722 0.6543 0.6820 0.0263 0.0359 0.0376 0.0492 0.0673 0.0705
    82      7 15.000 |  9.634  9.360 10.000  0.4212 0.6121 0.6476 0.0364 0.0517 0.0547 0.0662 0.0943 0.0998
    82     10 14.000 |  9.465  9.085 10.000  0.3863 0.5968 0.6417 0.0470 0.0708 0.0759 0.0825 0.1247 0.1337
    82     15 13.000 |  9.202  8.664 10.000  0.3556 0.5586 0.6067 0.0640 0.0990 0.1082 0.1068 0.1656 0.1808
    82     22 12.000 |  8.808  8.050 10.000  0.3210 0.5310 0.5831 0.0857 0.1417 0.1564 0.1336 0.2209 0.2436
    82     32 11.000 |  8.268  7.250  9.927  0.2908 0.5067 0.5623 0.1121 0.1955 0.2176 0.1604 0.2798 0.3112
    82     47 10.000 |  7.588  6.204  7.925  0.2592 0.4743 0.5326 0.1465 0.2689 0.3027 0.1856 0.3404 0.3829
    82     68  9.000 |  7.053  5.099  3.858  0.2181 0.4206 0.4823 0.1826 0.3515 0.4035 0.1970 0.3795 0.4354
    82    103  8.000 |  5.288  3.409  1.433  0.1780 0.3566 0.4191 0.2273 0.4544 0.5354 0.1976 0.3957 0.4656
    82    158  7.000 |  2.822  1.896  0.927  0.1310 0.2758 0.3344 0.2572 0.5400 0.6563 0.1717 0.3613 0.4383
    82    244  6.000 |  1.742  1.229  0.778  0.0937 0.2055 0.2534 0.2847 0.6234 0.7705 0.1395 0.3060 0.3776
    82    363  5.000 |  1.307  0.985  0.734  0.0656 0.1477 0.1851 0.2973 0.6676 0.8389 0.1066 0.2399 0.3008
    82    522  4.000 |  1.177  0.911  0.721  0.0464 0.1056 0.1334 0.3024 0.6872 0.8700 0.0799 0.1817 0.2297
    82    739  3.000 |  1.144  0.890  0.717  0.0331 0.0753 0.0956 0.3046 0.6931 0.8812 0.0593 0.1351 0.1715
    82    965  2.000 |  1.132  0.884  0.717  0.0253 0.0578 0.0735 0.3046 0.6943 0.8853 0.0465 0.1062 0.1351
    82   1120  1.000 |  1.132  0.883  0.717  0.0218 0.0497 0.0632 0.3046 0.6945 0.8855 0.0405 0.0924 0.1175
    82   1120  0.000 |  1.132  0.883  0.717  0.0218 0.0497 0.0632 0.3046 0.6945 0.8855 0.0405 0.0924 0.1175
    82   1120 -1.000 |  1.132  0.883  0.717  0.0218 0.0497 0.0632 0.3046 0.6945 0.8855 0.0405 0.0924 0.1175
    82   1120 -2.000 |  1.132  0.883  0.717  0.0218 0.0497 0.0632 0.3046 0.6945 0.8855 0.0405 0.0924 0.1175
#
#
