# result_score/FoldX
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
    82    144  0.000 |  3.064  2.136  1.275  0.0737 0.2087 0.3358 0.1320 0.3714 0.5949 0.0939 0.2655 0.4267
#
#
