# result_score/WatGNN
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
    82     32 95.000 |  8.134  6.839  9.683  0.7306 0.8021 0.8166 0.2655 0.2922 0.2974 0.3831 0.4214 0.4289
    82     53 90.000 |  7.125  5.360  5.571  0.5900 0.6727 0.6907 0.3615 0.4133 0.4245 0.4427 0.5058 0.5195
    82     72 85.000 |  7.160  4.610  2.369  0.4956 0.5837 0.6031 0.4223 0.4981 0.5151 0.4516 0.5325 0.5504
    82     91 80.000 |  6.510  3.874  1.182  0.4310 0.5202 0.5394 0.4656 0.5626 0.5838 0.4441 0.5364 0.5564
    82    111 75.000 |  4.893  2.846  0.694  0.3748 0.4627 0.4845 0.4994 0.6153 0.6449 0.4250 0.5242 0.5491
    82    133 70.000 |  3.850  2.207  0.553  0.3291 0.4106 0.4325 0.5261 0.6558 0.6917 0.4024 0.5019 0.5290
    82    155 65.000 |  3.128  1.779  0.509  0.2899 0.3667 0.3886 0.5424 0.6853 0.7269 0.3758 0.4753 0.5038
    82    179 60.000 |  2.643  1.482  0.435  0.2578 0.3304 0.3523 0.5584 0.7148 0.7627 0.3511 0.4498 0.4798
    82    204 55.000 |  2.247  1.260  0.416  0.2299 0.2985 0.3198 0.5685 0.7382 0.7914 0.3260 0.4233 0.4535
    82    231 50.000 |  1.934  1.094  0.411  0.2045 0.2688 0.2893 0.5755 0.7567 0.8145 0.3005 0.3951 0.4252
    82    264 45.000 |  1.685  0.966  0.405  0.1812 0.2401 0.2593 0.5838 0.7734 0.8355 0.2755 0.3650 0.3942
    82    299 40.000 |  1.458  0.853  0.397  0.1608 0.2150 0.2331 0.5909 0.7905 0.8574 0.2518 0.3368 0.3652
    82    335 35.000 |  1.309  0.786  0.394  0.1444 0.1946 0.2116 0.5953 0.8028 0.8735 0.2315 0.3121 0.3395
    82    379 30.000 |  1.156  0.719  0.393  0.1275 0.1734 0.1896 0.5971 0.8133 0.8891 0.2093 0.2848 0.3113
    82    434 25.000 |  0.980  0.645  0.388  0.1119 0.1530 0.1685 0.6030 0.8256 0.9097 0.1880 0.2571 0.2832
    82    495 20.000 |  0.859  0.596  0.387  0.0985 0.1357 0.1499 0.6062 0.8373 0.9255 0.1687 0.2325 0.2570
    82    563 15.000 |  0.799  0.573  0.385  0.0866 0.1198 0.1328 0.6070 0.8425 0.9343 0.1509 0.2088 0.2315
    82    632 10.000 |  0.763  0.560  0.385  0.0773 0.1071 0.1192 0.6077 0.8457 0.9407 0.1366 0.1893 0.2105
    82    696  5.000 |  0.736  0.549  0.385  0.0704 0.0977 0.1089 0.6082 0.8487 0.9461 0.1255 0.1744 0.1943
    82    914  0.000 |  0.681  0.527  0.384  0.0539 0.0754 0.0845 0.6097 0.8565 0.9597 0.0987 0.1381 0.1547
#
#
