dataset,target_id,Ncryst
protein-compound,1d2e,29
protein-compound,1e3v,3
protein-compound,1fcy,1
protein-compound,1h0a,17
protein-compound,1hyo,6
protein-compound,1loq,7
protein-compound,1mrs,13
protein-compound,1ndw,11
protein-compound,1nq7,3
protein-compound,1o0f,16
protein-compound,1ogd,1
protein-compound,1pa9,4
protein-compound,1uj5,6
protein-compound,1wn6,9
protein-compound,1x38,7
protein-compound,1x8t,9
protein-compound,1zhy,4
protein-compound,2a14,4
protein-compound,2bo4,5
protein-compound,2epn,5
protein-compound,2euk,7
protein-compound,2fmb,10
protein-compound,2fqy,4
protein-compound,2fxu,24
protein-compound,2gsu,3
protein-compound,2gvv,6
protein-compound,2gyi,19
protein-compound,2ihj,9
protein-compound,2iwx,14
protein-compound,2jjb,4
protein-compound,2nsl,7
protein-compound,2ri9,12
protein-compound,2rke,9
protein-compound,2uyn,2
protein-compound,2v25,7
protein-compound,2vb8,4
protein-compound,2vhj,5
protein-compound,2vot,4
protein-compound,2w47,15
protein-compound,2xei,12
protein-compound,2yfa,6
protein-compound,2ymd,1
protein-compound,3a5y,10
protein-compound,3aaq,13
protein-compound,3aho,14
protein-compound,3b1m,7
protein-compound,3bbb,3
protein-compound,3bex,10
protein-compound,3bxf,12
protein-compound,3c39,7
protein-compound,3ccz,14
protein-compound,3cz1,8
protein-compound,3d50,5
protein-compound,3ebo,5
protein-compound,3f33,5
protein-compound,3fj7,5
protein-compound,3g2y,9
protein-compound,3g3r,6
protein-compound,3hfb,15
protein-compound,3hkw,22
protein-compound,3hl7,9
protein-compound,3hp9,10
protein-compound,3ikd,6
protein-compound,3ip9,2
protein-compound,3l0v,3
protein-compound,3nht,9
protein-compound,3nyd,1
protein-compound,3p3s,2
protein-compound,3pbb,4
protein-compound,3pgu,6
protein-compound,3ppm,5
protein-compound,3r24,13
protein-compound,3re4,6
protein-compound,3s0b,1
protein-compound,3tmk,15
protein-compound,3uw4,5
protein-compound,3vjc,13
protein-compound,3w5n,4
protein-compound,3zhx,9
protein-compound,4ab9,8
protein-compound,4afg,2
protein-compound,4aj4,8
protein-compound,4az6,6
protein-compound,4b2i,1
protein-compound,4b5s,10
protein-compound,4b9z,5
protein-compound,4bps,3
protein-compound,4cc5,10
protein-compound,4d4d,10
protein-compound,4do4,4
protein-compound,4eu0,12
protein-compound,4ezr,2
protein-compound,4fzj,6
protein-compound,4g0q,9
protein-compound,4gbd,10
protein-compound,4i74,25
protein-compound,4iic,1
protein-compound,4iuo,2
protein-compound,4jfm,2
protein-compound,4km2,7
protein-compound,4l19,6
protein-compound,4lk7,6
protein-compound,4m3p,4
protein-compound,4mjp,3
protein-compound,4mo4,5
protein-compound,4mre,3
protein-compound,4mss,5
protein-compound,4muv,6
protein-compound,4myd,9
protein-compound,4n07,15
protein-compound,4n7u,3
protein-compound,4nbn,2
protein-compound,4ndu,5
protein-compound,4nkt,20
protein-compound,4ocq,4
protein-compound,4oma,4
protein-compound,4pqa,6
protein-compound,4pzv,16
protein-compound,4qer,5
protein-compound,4qpl,9
protein-compound,4rww,13
protein-compound,4tun,2
protein-compound,4tz2,5
protein-compound,4up5,2
protein-compound,4whs,3
protein-compound,4xmr,1
protein-compound,4xu0,8
protein-compound,4yc0,9
protein-compound,4ykk,3
protein-compound,4zeb,9
protein-compound,5a5q,9
protein-compound,5aol,3
protein-compound,5d1r,7
protein-compound,5e7n,2
protein-compound,5ect,23
protein-compound,5er4,11
protein-compound,5fov,12
protein-compound,5hrw,3
protein-compound,5hu9,11
protein-compound,5i3v,11
protein-compound,5ivy,11
protein-compound,5k03,4
protein-compound,5kax,6
protein-compound,5kva,17
protein-compound,5l9o,5
protein-compound,5ljq,8
protein-compound,5lyn,18
protein-compound,5m23,5
protein-compound,5mks,11
protein-compound,5nw7,5
protein-compound,5o58,16
protein-compound,5oh9,1
protein-compound,5std,3
protein-compound,5tef,3
protein-compound,5ufc,12
protein-compound,5umy,3
protein-compound,5var,2
protein-compound,5wxh,17
protein-compound,5yz2,8
protein-compound,6aqs,4
protein-compound,6csr,2
protein-compound,6cwh,4
protein-compound,6eog,14
protein-compound,6f1j,21
protein-compound,6fmc,22
protein-compound,6fnr,4
protein-compound,6hlx,10
protein-compound,6hpw,1
protein-compound,6hsh,2
protein-compound,6ma5,8
protein-compound,6mj7,8
